File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF772HOY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR596IKD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-104'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2114/'], '@type': ['Target', 'Item'], 'name': 'ETS2-human', 'label': 'ETS2', '@id': '/targets/ETS2-human/', 'title': 'ETS2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'd0367a2c-5473-4660-853c-6b1302fad8eb', 'status': 'released'}	NA	NA	NA	ETS2	DNA	NA	NA	NA	NA	NA	2016-08-24	ENCODE	NA	NA	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF982UOO/, /files/ENCFF804AYO/, /files/ENCFF331IWR/	34602	ENCODE Processing Pipeline	8faf266dc68894e370a91f3389c162da	NA	https://www.encodeproject.org/files/ENCFF772HOY/@@download/ENCFF772HOY.bed.gz	NA	NA	NA	released	s3://encode-public/2016/08/23/5ee234a8-a80c-441b-a7c6-c35bc2f97bbe/ENCFF772HOY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/08/23/5ee234a8-a80c-441b-a7c6-c35bc2f97bbe/ENCFF772HOY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	missing genetic modification characterization, mild to moderate bottlenecking, borderline replicate concordance, missing compliant biosample characterization, moderate library complexity	poor library complexity, severe bottlenecking	NA
ENCFF580QGA	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR772EEN	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-220'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5970/'], '@type': ['Target', 'Item'], 'name': 'RELA-human', 'label': 'RELA', '@id': '/targets/RELA-human/', 'title': 'RELA (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '3c44d92c-436a-4be6-a5cd-13f522313efa', 'status': 'released'}	NA	NA	NA	RELA	DNA	NA	NA	NA	NA	NA	2016-01-14	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF347CVK/, /files/ENCFF001TDO/, /files/ENCFF993MOQ/, /files/ENCFF401ROZ/	195207	ENCODE Processing Pipeline	e5b33520cb44052d0d417f7ef5d0e38a	NA	https://www.encodeproject.org/files/ENCFF580QGA/@@download/ENCFF580QGA.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/06/8281074f-9301-44eb-b779-55d0ceba5d30/ENCFF580QGA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/8281074f-9301-44eb-b779-55d0ceba5d30/ENCFF580QGA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	missing genetic modification characterization, mild to moderate bottlenecking, missing compliant biosample characterization, moderate library complexity	NA	NA
ENCFF917COW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BLI	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	E2F6	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF373HDQ/, /files/ENCFF072IAO/, /files/ENCFF318UXE/	534776	ENCODE Processing Pipeline	50091b97c0b4ff0828db52d7241d577e	NA	https://www.encodeproject.org/files/ENCFF917COW/@@download/ENCFF917COW.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/8b0dd11b-c045-4b59-a8dd-a3e0710a92bc/ENCFF917COW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/8b0dd11b-c045-4b59-a8dd-a3e0710a92bc/ENCFF917COW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	control low read depth, mild to moderate bottlenecking, low read length, borderline replicate concordance, low read depth, moderate library complexity	poor library complexity, insufficient read depth, severe bottlenecking	NA
ENCFF352HGW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR720HUL	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	E2F1	DNA	NA	NA	NA	NA	NA	2018-01-26	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF358UWQ/, /files/ENCFF401MRM/, /files/ENCFF252JHJ/	359284	ENCODE Processing Pipeline	e24abce2eb93185b8fab54ab59d5f784	NA	https://www.encodeproject.org/files/ENCFF352HGW/@@download/ENCFF352HGW.bed.gz	NA	NA	NA	archived	s3://encode-public/2017/01/27/ecffe7d1-9187-4053-8268-c345ad292a72/ENCFF352HGW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/01/27/ecffe7d1-9187-4053-8268-c345ad292a72/ENCFF352HGW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	NA	NA	moderate library complexity, mild to moderate bottlenecking, low read depth, inconsistent platforms	poor library complexity, partially characterized antibody, severe bottlenecking	NA
ENCFF106DAY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR720HUL	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	E2F1	DNA	NA	NA	NA	NA	NA	2018-01-26	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF260KBY/, /files/ENCFF721GUV/, /files/ENCFF199PBO/	431592	ENCODE Processing Pipeline	eebcfeb474d20d087492413655d9c57c	NA	https://www.encodeproject.org/files/ENCFF106DAY/@@download/ENCFF106DAY.bed.gz	NA	NA	NA	released	s3://encode-public/2017/04/13/c2879d0c-7bbf-440e-9acc-f047fcadc6b4/ENCFF106DAY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/04/13/c2879d0c-7bbf-440e-9acc-f047fcadc6b4/ENCFF106DAY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, inconsistent platforms	poor library complexity, partially characterized antibody, severe bottlenecking	NA
ENCFF958KNK	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR028UIU	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATF3	DNA	NA	NA	NA	NA	NA	2016-07-08	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF164BVB/, /files/ENCFF263MQY/, /files/ENCFF001TDO/, /files/ENCFF034DTN/	1074003	ENCODE Processing Pipeline	9766f5508a9d7c4285265a20084a2850	NA	https://www.encodeproject.org/files/ENCFF958KNK/@@download/ENCFF958KNK.bed.gz	NA	NA	NA	released	s3://encode-public/2017/08/31/1c10933d-beb6-48e3-9d7a-3dae5c6fed07/ENCFF958KNK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/08/31/1c10933d-beb6-48e3-9d7a-3dae5c6fed07/ENCFF958KNK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	moderate library complexity, mild to moderate bottlenecking, inconsistent platforms	NA	NA
ENCFF471ZTZ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR613NUC	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARNT	DNA	NA	NA	NA	NA	NA	2016-12-19	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF829KFC/, /files/ENCFF848FSH/, /files/ENCFF001TDO/, /files/ENCFF505URD/	309156	ENCODE Processing Pipeline	720a3ea4fe1bb47e81c212a2969a67f6	NA	https://www.encodeproject.org/files/ENCFF471ZTZ/@@download/ENCFF471ZTZ.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/06/7d8eabc9-62e8-4f29-bb03-9b014a5f46e9/ENCFF471ZTZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/7d8eabc9-62e8-4f29-bb03-9b014a5f46e9/ENCFF471ZTZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	NA	NA	NA
ENCFF895QLA	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR137ZMQ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	REST	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF267RGU/, /files/ENCFF001TDO/, /files/ENCFF116JZW/, /files/ENCFF876EHZ/	767264	ENCODE Processing Pipeline	566a637ff871d08a8eb27aa1153826fb	NA	https://www.encodeproject.org/files/ENCFF895QLA/@@download/ENCFF895QLA.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/05/81f6b651-6cab-4ec0-b515-690528582e35/ENCFF895QLA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/05/81f6b651-6cab-4ec0-b515-690528582e35/ENCFF895QLA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	borderline replicate concordance, mild to moderate bottlenecking	NA	NA
ENCFF632NQI	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EFT	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	GATA1	DNA	NA	NA	NA	NA	NA	2012-08-20	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF234GQW/, /files/ENCFF916MQB/, /files/ENCFF253DCO/	261856	ENCODE Processing Pipeline	e0454bcca2f35d6ec9a1ad5aca4d6ebc	NA	https://www.encodeproject.org/files/ENCFF632NQI/@@download/ENCFF632NQI.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/20/debd79db-b3ac-48f4-89a6-879309027676/ENCFF632NQI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/20/debd79db-b3ac-48f4-89a6-879309027676/ENCFF632NQI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, improper control_type of control experiment, low read depth	NA	NA
ENCFF613RNG	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR851BNE	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEIS2	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF509UMD/, /files/ENCFF327DRE/, /files/ENCFF001TDO/, /files/ENCFF697BKG/	825829	ENCODE Processing Pipeline	5a8a7a2c1d04e8655631cd819f8e4127	NA	https://www.encodeproject.org/files/ENCFF613RNG/@@download/ENCFF613RNG.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/05/feac85ba-6b59-46c4-9581-ef005e1d89f3/ENCFF613RNG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/05/feac85ba-6b59-46c4-9581-ef005e1d89f3/ENCFF613RNG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking	partially characterized antibody	NA
ENCFF710IEF	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR145TSJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATF4	DNA	NA	NA	NA	NA	NA	2018-01-26	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF921XMX/, /files/ENCFF001TDO/, /files/ENCFF548UHD/, /files/ENCFF970NGB/	764540	ENCODE Processing Pipeline	e9766301d4959d4c2c900a42e3e9c2d2	NA	https://www.encodeproject.org/files/ENCFF710IEF/@@download/ENCFF710IEF.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/05/861c139a-10c1-4a5b-9240-4ef71766f131/ENCFF710IEF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/05/861c139a-10c1-4a5b-9240-4ef71766f131/ENCFF710IEF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking	partially characterized antibody	NA
ENCFF699ZII	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR429QPP	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	FOXM1	DNA	NA	NA	NA	NA	NA	2017-01-27	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF847FHY/, /files/ENCFF001TDO/, /files/ENCFF805KEB/, /files/ENCFF804EPQ/	287070	ENCODE Processing Pipeline	4775f57db3e59a973c0c857c17c0de9b	NA	https://www.encodeproject.org/files/ENCFF699ZII/@@download/ENCFF699ZII.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/05/5778c444-e4e5-4025-9d7e-2870cd777312/ENCFF699ZII.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/05/5778c444-e4e5-4025-9d7e-2870cd777312/ENCFF699ZII.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read depth, moderate library complexity	NA	NA
ENCFF058NMZ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR991ELG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	SP1	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF459WKK/, /files/ENCFF422VXS/, /files/ENCFF001TDO/, /files/ENCFF699WES/	223612	ENCODE Processing Pipeline	573eb94247a08300f7c022e4b16aeff5	NA	https://www.encodeproject.org/files/ENCFF058NMZ/@@download/ENCFF058NMZ.bed.gz	NA	NA	NA	archived	s3://encode-public/2017/03/06/565b6495-914c-49ee-83e5-d8a571e9403d/ENCFF058NMZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/565b6495-914c-49ee-83e5-d8a571e9403d/ENCFF058NMZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	NA	NA	mild to moderate bottlenecking, low read depth	NA	NA
ENCFF300XUA	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR991ELG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	SP1	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF269OJD/, /files/ENCFF001TDO/, /files/ENCFF103ESU/, /files/ENCFF778OYJ/	267916	ENCODE Processing Pipeline	375188392fd2e30179eec9249863ee49	NA	https://www.encodeproject.org/files/ENCFF300XUA/@@download/ENCFF300XUA.bed.gz	NA	NA	NA	released	s3://encode-public/2018/02/09/493d0044-38f0-4ca6-8065-06cad1bba623/ENCFF300XUA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/02/09/493d0044-38f0-4ca6-8065-06cad1bba623/ENCFF300XUA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read depth	NA	NA
ENCFF558DSF	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR757IIU	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	HMBOX1	DNA	NA	NA	NA	NA	NA	2016-03-30	ENCODE	NA	sonication (generic)	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF052IOC/, /files/ENCFF514IDT/, /files/ENCFF037FVZ/	507490	ENCODE Processing Pipeline	082127ee84bc475cf8b8969343b39cd0	NA	https://www.encodeproject.org/files/ENCFF558DSF/@@download/ENCFF558DSF.bed.gz	NA	NA	NA	released	s3://encode-public/2016/11/15/57311aae-8d6b-4670-a691-335a3c0710df/ENCFF558DSF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/15/57311aae-8d6b-4670-a691-335a3c0710df/ENCFF558DSF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	released	NA	NA	NA
ENCFF502KHR	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR638QHV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ELF4	DNA	NA	NA	NA	NA	NA	2017-01-31	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF307JUJ/, /files/ENCFF001TDO/, /files/ENCFF625PVR/, /files/ENCFF734SUP/	329872	ENCODE Processing Pipeline	c2e187f6d861df3100e2acf5d12e3e45	NA	https://www.encodeproject.org/files/ENCFF502KHR/@@download/ENCFF502KHR.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/05/064888c6-5e46-4d76-bbe7-8b7016886d0d/ENCFF502KHR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/05/064888c6-5e46-4d76-bbe7-8b7016886d0d/ENCFF502KHR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, antibody characterized with exemption, low read depth, moderate library complexity	NA	NA
ENCFF083YCQ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR731LHZ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	E4F1	DNA	NA	NA	NA	NA	NA	2018-01-26	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF713DFK/, /files/ENCFF952KDF/, /files/ENCFF249GYD/	454049	ENCODE Processing Pipeline	6f611b81e2e1ca4ecaa174c4c3617412	NA	https://www.encodeproject.org/files/ENCFF083YCQ/@@download/ENCFF083YCQ.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/05/d0a259c3-20ab-48b4-8c98-c2dfa41d039b/ENCFF083YCQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/05/d0a259c3-20ab-48b4-8c98-c2dfa41d039b/ENCFF083YCQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	borderline replicate concordance, mild to moderate bottlenecking, moderate library complexity	partially characterized antibody	NA
ENCFF786WZD	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR387SYS	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	DEAF1	DNA	NA	NA	NA	NA	NA	2016-03-30	ENCODE	NA	sonication (generic)	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF671XXI/, /files/ENCFF774DGH/, /files/ENCFF433RNR/	64933	ENCODE Processing Pipeline	35a9ccfb765df1b979ffba0e21e27919	NA	https://www.encodeproject.org/files/ENCFF786WZD/@@download/ENCFF786WZD.bed.gz	NA	NA	NA	released	s3://encode-public/2016/12/05/ac2642d7-3db7-48ec-b74b-6ee50c584c50/ENCFF786WZD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/05/ac2642d7-3db7-48ec-b74b-6ee50c584c50/ENCFF786WZD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read depth, antibody characterized with exemption	NA	NA
ENCFF249EZR	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR863KUB	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCF7	DNA	NA	NA	NA	NA	NA	2016-01-14	ENCODE	NA	sonication (generic)	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF086FEW/, /files/ENCFF127VYL/, /files/ENCFF588ZYR/	107201	ENCODE Processing Pipeline	e6d734cd2dddbdb65175f4aac5d619c6	NA	https://www.encodeproject.org/files/ENCFF249EZR/@@download/ENCFF249EZR.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/08/0cf5479b-9e26-4698-a486-1e19e1077160/ENCFF249EZR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/08/0cf5479b-9e26-4698-a486-1e19e1077160/ENCFF249EZR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	borderline replicate concordance, antibody characterized with exemption	NA	NA
ENCFF384YDT	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR376WCJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	IRF2	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	150-350	1, 3	1_1, 3_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF903CMR/, /files/ENCFF663ORW/, /files/ENCFF084ZRH/	152742	ENCODE Processing Pipeline	c35e488a7197f89d865f37f8aa5f4343	NA	https://www.encodeproject.org/files/ENCFF384YDT/@@download/ENCFF384YDT.bed.gz	NA	NA	NA	released	s3://encode-public/2018/02/26/dc111c57-5b16-4d59-9b96-9db7c290acb3/ENCFF384YDT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/02/26/dc111c57-5b16-4d59-9b96-9db7c290acb3/ENCFF384YDT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length	NA	NA
ENCFF231TGQ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR376WCJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	IRF2	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	150-350	1, 3	1_1, 3_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF770GWM/, /files/ENCFF063GMG/, /files/ENCFF135VWG/	131926	ENCODE Processing Pipeline	18f3a5f97cca0b5c798f4d6623c542f8	NA	https://www.encodeproject.org/files/ENCFF231TGQ/@@download/ENCFF231TGQ.bed.gz	NA	NA	NA	archived	s3://encode-public/2017/03/06/7a1988da-4213-4e17-b193-93ca6acdef90/ENCFF231TGQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/7a1988da-4213-4e17-b193-93ca6acdef90/ENCFF231TGQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length	NA	NA
